"Label (Grouping)","Alameda County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","223,180","170","7,295","29,789","8,137","2,730","194,862","3,279","37,505","115,553","3,317","17,525","16,501","2,228","109,460","16,133","9,468","3,561","1,081,570","19,549","46,610","2,755","10,113","27,033","1,118","2,419","44,196","20,107","18,695","416,650","76,413","3,267","347,770","223,683","9,220","273,488","434,507","89,811","94,968","43,072","109,636","50,364","249,944","39,213","28,268","459","6,178","68,861","77,461","69,085","69,085","12,383","9,779","1,817","54,387","10,179","122,724","26,177","11,028"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","1,499","0","84","403","179","68","1,196","138","320","1,691","30","308","240","119","2,076","198","388","56","10,229","295","285","25","176","449","99","13","404","199","385","3,425","362","62","5,037","2,991","87","4,884","3,776","698","1,588","319","786","368","1,615","351","649","0","168","928","630","1,031","1.5%","241","176","69","1,120","128","1,167","209","74"
"        $50,000 to $99,999","958","0","160","637","72","116","939","117","102","3,057","45","138","386","146","4,860","594","536","227","7,653","198","41","83","251","516","202","112","206","178","182","3,453","437","37","3,819","1,613","57","5,277","3,518","98","1,057","256","386","313","702","185","450","27","363","389","924","481","0.7%","131","318","0","2,683","141","744","78","207"
"        $100,000 to $299,999","5,652","19","2,526","11,677","2,695","1,515","9,098","1,735","4,553","61,555","1,967","6,053","12,405","673","70,114","11,095","4,490","2,239","62,619","11,241","903","1,126","2,003","15,051","501","512","3,294","664","2,291","11,342","5,276","1,813","81,080","55,321","224","83,362","23,386","1,184","24,262","2,026","1,201","5,455","5,534","1,249","14,986","300","3,741","7,438","3,197","27,787","40.2%","5,160","6,287","922","35,375","3,943","5,314","3,413","6,033"
"        $300,000 to $499,999","21,610","86","3,399","11,493","3,521","789","45,455","1,045","14,100","37,002","835","7,855","2,790","935","25,837","3,138","2,825","821","284,328","6,301","2,122","1,119","4,605","8,438","213","754","14,734","3,227","8,135","57,666","31,832","986","172,346","109,148","2,664","118,867","117,643","3,112","43,903","11,253","3,056","16,007","9,778","5,110","9,519","98","1,423","35,580","15,469","32,286","46.7%","5,225","2,204","456","11,352","4,372","28,204","11,293","3,740"
"        $500,000 to $749,999","58,772","53","560","3,621","1,253","147","59,392","144","12,421","8,492","275","2,218","502","280","4,258","845","668","155","364,365","759","5,654","285","1,965","1,697","48","675","13,433","7,994","4,999","150,810","26,751","174","66,483","40,853","4,330","45,626","160,214","9,399","18,318","17,382","10,511","7,798","37,402","10,091","1,951","25","205","19,915","31,349","5,076","7.3%","1,070","462","280","2,832","1,053","51,427","6,746","571"
"        $750,000 to $999,999","61,776","0","364","1,296","275","74","32,029","35","4,213","2,125","37","483","155","39","1,422","142","241","6","156,269","417","11,866","85","587","530","0","214","5,950","4,257","1,877","107,494","7,312","83","11,274","9,137","1,263","11,039","68,290","16,698","4,123","7,226","23,781","8,619","56,946","11,276","409","0","235","3,229","14,185","1,375","2.0%","352","188","50","456","253","22,061","2,621","295"
"        $1,000,000 or more","72,913","12","202","662","142","21","46,753","65","1,796","1,631","128","470","23","36","893","121","320","57","196,107","338","25,739","32","526","352","55","139","6,175","3,588","826","82,460","4,443","112","7,731","4,620","595","4,433","57,680","58,622","1,717","4,610","69,915","11,804","137,967","10,951","304","9","43","1,382","11,707","1,049","1.5%","204","144","40","569","289","13,807","1,817","108"
"        Median (dollars)","843,500","394,300","339,400","328,400","346,300","263,700","671,500","249,100","495,300","277,700","270,300","340,800","224,700","330,100","239,800","230,400","267,400","223,200","620,700","273,500","1,075,900","317,500","392,600","276,300","163,400","452,400","564,400","680,900","459,200","719,500","502,800","274,000","387,400","380,200","591,100","365,700","607,600","1,185,700","383,400","610,500","1,189,100","597,400","1,070,600","808,100","276,200","216,000","234,100","447,500","647,600","322,400","322,400","316,800","238,500","292,000","230,800","329,600","626,100","460,200","285,400"
"    MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a mortgage and either a second mortgage or home equity loan","37,006","11","778","4,279","670","306","33,226","365","5,116","10,931","438","2,540","996","331","8,632","1,330","781","224","150,226","1,786","11,252","254","1,171","1,999","72","116","5,458","3,556","2,548","68,098","10,358","377","34,549","27,042","1,111","26,559","65,410","15,667","10,363","5,637","22,405","7,035","44,458","7,316","3,084","32","691","8,305","14,083","6,117","8.9%","1,139","1,118","56","4,177","1,277","16,531","3,231","1,197"
"            Only Second mortgage","5,812","5","287","1,069","173","36","5,108","69","980","2,903","105","646","307","21","3,294","567","190","55","29,816","336","1,042","38","338","612","0","0","912","667","413","9,902","1,741","124","10,633","6,753","120","7,582","11,473","1,742","3,250","668","2,758","1,291","6,281","1,302","757","12","197","1,939","2,564","2,048","3.0%","378","379","12","1,720","541","2,753","648","284"
"            Only Home equity loan","30,189","6","461","2,990","470","270","26,768","289","4,018","7,614","321","1,853","663","310","4,964","730","578","164","113,250","1,354","9,876","178","816","1,275","62","116","4,470","2,746","2,058","55,893","8,292","253","22,506","19,452","769","17,827","51,885","13,315","6,748","4,652","18,829","5,566","36,254","5,740","2,250","20","474","6,008","11,153","3,632","5.3%","699","733","44","2,091","691","13,045","2,479","913"
"            Both second mortgage and home equity loan","1,005","0","30","220","27","0","1,350","7","118","414","12","41","26","0","374","33","13","5","7,160","96","334","38","17","112","10","0","76","143","77","2,303","325","0","1,410","837","222","1,150","2,052","610","365","317","818","178","1,923","274","77","0","20","358","366","437","0.6%","62","6","0","366","45","733","104","0"
"        No second mortgage and no home equity loan","185,152","156","6,501","25,395","7,467","2,388","160,781","2,912","32,347","104,038","2,867","14,905","15,451","1,897","100,671","14,691","8,679","3,324","927,610","17,733","35,066","2,495","8,907","24,998","1,046","2,303","38,476","16,509","16,075","346,995","65,811","2,890","312,450","195,928","8,099","246,551","367,769","73,768","84,284","37,312","86,720","43,203","204,505","31,782","25,100","427","5,476","60,424","63,074","62,796","90.9%","11,186","8,661","1,761","50,109","8,839","105,770","22,904","9,643"
"        Home equity loan without a primary mortgage","1,022","3","16","115","0","36","855","2","42","584","12","80","54","0","157","112","8","13","3,734","30","292","6","35","36","0","0","262","42","72","1,557","244","0","771","713","10","378","1,328","376","321","123","511","126","981","115","84","0","11","132","304","172","0.2%","58","0","0","101","63","423","42","188"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $10,000","2,757","0","145","570","225","53","3,092","45","786","2,241","101","627","662","61","2,346","268","258","22","21,328","474","429","49","211","468","5","3","697","273","281","6,725","1,540","82","9,810","4,082","87","4,644","8,060","1,412","2,041","743","1,322","781","2,507","520","652","3","212","918","1,228","878","1.3%","278","186","64","1,733","171","1,672","511","234"
"        $10,000 to $24,999","5,801","3","431","2,142","326","127","5,768","296","1,602","5,864","266","801","1,577","160","6,434","831","999","232","45,396","1,266","1,265","292","754","1,592","68","54","1,234","883","1,034","11,752","2,699","93","17,640","9,231","221","13,075","13,495","2,554","4,249","1,624","2,877","1,405","5,437","1,246","1,644","48","600","1,714","2,284","3,288","4.8%","427","931","231","3,989","582","3,427","509","633"
"        $25,000 to $34,999","4,463","3","393","1,503","553","214","4,895","189","1,286","6,513","93","1,162","874","130","7,413","1,127","656","122","39,483","1,137","978","201","595","1,424","159","34","1,532","636","975","11,628","2,021","182","16,095","9,209","149","13,303","13,113","1,634","3,782","1,236","2,058","1,497","4,666","865","1,875","58","450","1,934","2,309","3,711","5.4%","495","686","133","4,171","674","3,915","680","763"
"        $35,000 to $49,999","8,203","8","729","2,589","700","298","9,020","266","2,366","10,685","642","2,086","1,992","289","11,543","1,552","1,076","339","68,342","2,069","1,610","235","910","3,432","79","193","2,687","918","1,634","19,022","3,890","392","27,700","16,006","598","24,317","22,795","3,163","7,051","3,133","3,420","2,846","7,115","1,795","2,880","10","823","4,539","4,174","7,442","10.8%","993","1,318","256","6,460","792","6,196","1,102","1,206"
"        $50,000 to $74,999","17,642","19","1,473","4,415","1,646","566","18,167","756","4,946","20,322","589","3,222","2,881","309","20,554","2,623","1,814","916","138,230","3,822","3,486","543","2,281","5,330","299","609","6,057","2,001","2,814","40,317","8,209","423","55,905","34,063","1,180","47,075","50,639","6,405","14,433","5,901","6,954","6,526","15,938","3,279","5,275","80","1,214","8,607","8,702","11,899","17.2%","2,217","1,797","319","10,661","1,799","13,681","3,160","1,817"
"        $75,000 to $99,999","19,858","17","962","5,026","1,472","487","20,752","651","4,533","19,193","614","3,232","3,035","232","18,270","3,272","1,327","564","140,326","3,440","3,403","590","1,262","4,279","209","627","7,151","2,280","2,674","47,181","9,757","595","49,230","32,330","1,324","44,599","53,644","6,734","14,489","6,154","9,456","6,470","18,387","4,480","4,969","49","918","11,088","11,309","11,318","16.4%","2,163","1,846","228","8,899","1,708","17,196","3,274","1,768"
"        $100,000 to $149,999","42,664","85","1,852","6,564","1,695","548","42,180","683","8,887","25,343","652","3,565","3,606","613","23,078","3,539","1,927","946","244,332","4,613","8,279","457","2,194","5,826","243","448","10,192","4,538","4,085","92,267","18,011","869","82,103","55,419","2,682","64,258","102,336","13,999","22,566","10,205","18,255","12,326","41,025","9,013","5,588","119","1,361","17,171","19,379","16,023","23.2%","3,167","1,540","461","10,194","2,439","28,711","6,559","2,712"
"        $150,000 or more","121,792","35","1,310","6,980","1,520","437","90,988","393","13,099","25,392","360","2,830","1,874","434","19,822","2,921","1,411","420","384,133","2,728","27,160","388","1,906","4,682","56","451","14,646","8,578","5,198","187,758","30,286","631","89,287","63,343","2,979","62,217","170,425","53,910","26,357","14,076","65,294","18,513","154,869","18,015","5,385","92","600","22,890","28,076","14,526","21.0%","2,643","1,475","125","8,280","2,014","47,926","10,382","1,895"
"        Median household income (dollars)","160,970","126,563","87,109","91,907","84,432","79,769","140,425","79,867","114,993","90,630","72,225","80,320","76,245","89,792","82,921","85,574","73,850","81,155","115,184","82,168","178,483","79,477","77,869","81,140","73,097","92,722","109,669","129,976","98,778","137,223","126,513","93,114","98,524","104,887","115,223","93,996","125,282","184,983","102,024","111,664","178,823","120,473","184,206","139,418","82,802","93,150","69,579","112,876","121,505","89,878","89,878","95,377","74,591","68,320","75,442","89,908","124,824","124,246","87,282"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","11,540","21","1,043","5,831","1,121","686","13,420","829","3,776","28,907","457","2,101","4,216","432","30,206","4,806","1,971","1,114","72,982","4,188","2,213","353","1,246","6,119","474","313","3,582","1,281","2,089","24,741","7,501","861","45,282","31,034","406","40,283","28,591","5,279","14,104","2,468","4,399","3,995","12,563","2,477","6,335","142","1,475","8,215","4,924","11,280","16.3%","2,690","1,980","229","14,427","1,797","7,871","2,883","2,031"
"        2.0 to 2.9","28,233","41","1,951","7,050","1,868","671","29,674","708","7,432","29,907","741","3,347","4,309","548","29,851","4,666","2,118","949","134,194","4,885","4,739","521","1,572","6,322","170","369","6,530","2,795","3,187","51,097","16,609","981","73,734","53,267","1,418","58,916","66,121","7,910","21,670","5,515","7,621","7,334","23,622","4,374","6,593","67","1,304","15,551","8,941","16,755","24.3%","3,096","2,378","345","13,120","2,010","17,685","6,090","3,007"
"        3.0 to 3.9","38,512","13","959","5,186","1,287","473","37,470","601","7,571","19,528","568","3,309","2,404","386","18,068","2,378","1,472","489","176,879","3,234","6,579","479","1,372","4,551","173","385","7,833","3,544","3,067","71,913","16,194","378","67,114","46,099","1,690","51,833","82,281","11,443","19,543","7,220","12,434","8,472","33,588","6,123","5,098","75","1,209","14,072","13,111","12,790","18.5%","2,228","1,938","218","8,701","2,106","23,689","6,030","1,761"
"        4.0 or more","144,132","95","3,296","11,523","3,819","881","113,520","1,141","18,451","36,680","1,538","8,562","5,414","828","30,781","4,233","3,813","1,005","690,540","7,192","32,914","1,402","5,920","9,918","301","1,352","26,139","12,450","10,316","266,949","35,567","1,047","158,317","92,334","5,670","121,211","255,222","64,611","39,259","27,593","84,719","30,424","179,294","26,104","10,156","172","2,150","30,758","50,137","28,054","40.6%","4,331","3,423","1,025","17,831","4,182","73,064","11,109","4,090"
"        Not computed","763","0","46","199","42","19","778","0","275","531","13","206","158","34","554","50","94","4","6,975","50","165","0","3","123","0","0","112","37","36","1,950","542","0","3,323","949","36","1,245","2,292","568","392","276","463","139","877","135","86","3","40","265","348","206","0.3%","38","60","0","308","84","415","65","139"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
