COUNTY,STNAME,County,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020
0,Alabama,Alabama,4866824,4877989,4891628,4907965,4921532
1,Alabama,Autauga County,55302,55448,55533,55769,56145
3,Alabama,Baldwin County,207787,212737,218071,223565,229287
5,Alabama,Barbour County,25828,25169,24887,24657,24589
7,Alabama,Bibb County,22590,22532,22300,22313,22136
9,Alabama,Blount County,57487,57801,57770,57840,57879
11,Alabama,Bullock County,10397,10181,10165,10144,9976
13,Alabama,Butler County,20040,19911,19675,19501,19504
15,Alabama,Calhoun County,115036,114746,114298,114070,113469
17,Alabama,Chambers County,33742,33716,33570,33244,32865
19,Alabama,Cherokee County,25769,25822,26035,26254,26294
21,Alabama,Chilton County,43854,44085,44084,44313,44397
23,Alabama,Choctaw County,13049,12923,12810,12577,12418
25,Alabama,Clarke County,24342,24083,23965,23651,23291
27,Alabama,Clay County,13393,13355,13301,13265,13112
29,Alabama,Cleburne County,14871,14924,15047,14952,14967
31,Alabama,Coffee County,51281,51943,52097,52639,53230
33,Alabama,Colbert County,54483,54682,54970,55241,55411
35,Alabama,Conecuh County,12495,12431,12264,12055,11851
37,Alabama,Coosa County,10812,10724,10619,10677,10650
39,Alabama,Covington County,37400,37077,36993,37082,36930
41,Alabama,Crenshaw County,13911,13871,13855,13811,13681
43,Alabama,Cullman County,82434,82830,83300,83644,84515
45,Alabama,Dale County,49476,49467,49268,49294,48959
47,Alabama,Dallas County,40105,39263,38270,37182,36098
49,Alabama,DeKalb County,71116,71441,71430,71506,71658
51,Alabama,Elmore County,81258,81452,81189,81575,82158
53,Alabama,Escambia County,37500,37010,36515,36569,36281
55,Alabama,Etowah County,102931,103076,102766,102460,102371
57,Alabama,Fayette County,16581,16478,16451,16279,16241
59,Alabama,Franklin County,31674,31670,31495,31587,31507
61,Alabama,Geneva County,26497,26404,26296,26309,26411
63,Alabama,Greene County,8485,8312,8212,8104,7990
65,Alabama,Hale County,14845,14812,14773,14669,14670
67,Alabama,Henry County,17062,17105,17100,17125,17223
69,Alabama,Houston County,104355,104472,104943,106240,106580
71,Alabama,Jackson County,52058,51865,51649,51672,51582
73,Alabama,Jefferson County,660507,659892,659672,658539,655342
75,Alabama,Lamar County,13926,13885,13878,13817,13764
77,Alabama,Lauderdale County,92521,92701,92733,93028,93368
79,Alabama,Lawrence County,33196,33035,32905,32851,32857
81,Alabama,Lee County,159446,161808,164206,165015,166831
83,Alabama,Limestone County,92896,94144,96199,99136,102228
85,Alabama,Lowndes County,10245,10100,9969,9726,9641
87,Alabama,Macon County,19077,18828,18320,18065,17895
89,Alabama,Madison County,356985,362061,367386,372547,379453
91,Alabama,Marengo County,19536,19411,19093,18919,18733
93,Alabama,Marion County,29958,29825,29776,29826,29703
95,Alabama,Marshall County,95123,95589,96230,96751,96990
97,Alabama,Mobile County,415169,414209,414275,413516,412716
99,Alabama,Monroe County,21553,21294,21035,20689,20459
101,Alabama,Montgomery County,227398,227514,226631,226074,224639
103,Alabama,Morgan County,119090,118940,119216,119630,119883
105,Alabama,Perry County,9538,9304,9049,8940,8687
107,Alabama,Pickens County,20337,20224,19949,19940,19793
109,Alabama,Pike County,33540,33441,33390,33034,32966
111,Alabama,Randolph County,22515,22702,22742,22781,22920
113,Alabama,Russell County,58290,57134,57933,58098,58237
115,Alabama,St. Clair County,87342,87985,88842,89735,90739
117,Alabama,Shelby County,211538,213854,215877,218176,221428
119,Alabama,Sumter County,12973,12756,12661,12358,12225
121,Alabama,Talladega County,80598,80192,80219,80226,79985
123,Alabama,Tallapoosa County,40607,40624,40550,40337,40133
125,Alabama,Tuscaloosa County,206737,207849,208607,210321,210758
127,Alabama,Walker County,64559,63929,63701,63680,63143
129,Alabama,Washington County,16607,16484,16336,16279,15976
131,Alabama,Wilcox County,10860,10704,10592,10396,10206
133,Alabama,Winston County,23911,23753,23690,23700,23508
0,Alaska,Alaska,742575,740983,736624,733603,731158
13,Alaska,Aleutians East Borough,3354,3445,3391,3355,3401
16,Alaska,Aleutians West Census Area,5718,5760,5678,5702,5680
20,Alaska,Anchorage Municipality,298072,295118,291377,288790,287095
50,Alaska,Bethel Census Area,18018,18102,18267,18493,18437
60,Alaska,Bristol Bay Borough,906,869,881,840,788
63,Alaska,Chugach Census Area,6542,6509,6487,6509,6427
66,Alaska,Copper River Census Area,2898,2887,2880,2886,2919
68,Alaska,Denali Borough,2068,2103,2047,2125,2081
70,Alaska,Dillingham Census Area,4968,4934,5003,4932,4833
90,Alaska,Fairbanks North Star Borough,100877,99911,98749,97088,95651
100,Alaska,Haines Borough,2531,2526,2502,2561,2614
105,Alaska,Hoonah-Angoon Census Area,2115,2135,2139,2144,2141
110,Alaska,Juneau City and Borough,32456,32106,32044,32038,31849
122,Alaska,Kenai Peninsula Borough,58515,58594,58609,58914,59414
130,Alaska,Ketchikan Gateway Borough,13760,13874,13881,13905,13747
150,Alaska,Kodiak Island Borough,13722,13605,13389,13209,12992
158,Alaska,Kusilvak Census Area,8180,8247,8349,8384,8328
164,Alaska,Lake and Peninsula Borough,1595,1606,1586,1583,1493
170,Alaska,Matanuska-Susitna Borough,104258,106426,107325,108578,110213
180,Alaska,Nome Census Area,9983,10038,10073,10040,9909
185,Alaska,North Slope Borough,9292,9401,9455,9433,9294
188,Alaska,Northwest Arctic Borough,7709,7805,7715,7673,7644
195,Alaska,Petersburg Borough,3262,3284,3256,3294,3296
198,Alaska,Prince of Wales-Hyder Census Area,6521,6441,6372,6211,6147
220,Alaska,Sitka City and Borough,8744,8640,8555,8501,8405
230,Alaska,Skagway Municipality,1132,1173,1172,1193,1179
240,Alaska,Southeast Fairbanks Census Area,6853,6918,6946,6879,6957
275,Alaska,Wrangell City and Borough,2493,2516,2521,2513,2510
282,Alaska,Yakutat City and Borough,615,610,600,576,637
290,Alaska,Yukon-Koyukuk Census Area,5418,5400,5375,5254,5077
0,Arizona,Arizona,6944767,7048088,7164228,7291843,7421401
1,Arizona,Apache County,71418,71538,71819,71920,71875
3,Arizona,Cochise County,125885,125048,126581,127248,127450
5,Arizona,Coconino County,140609,141300,142914,143967,142481
7,Arizona,Gila County,53400,53619,53833,54077,54303
9,Arizona,Graham County,37859,37530,38032,38890,39211
11,Arizona,Greenlee County,9642,9451,9424,9467,9341
12,Arizona,La Paz County,20670,20737,21030,21257,21480
13,Arizona,Maricopa County,4258019,4329227,4405306,4492261,4579081
15,Arizona,Mohave County,205899,207668,210371,213846,217206
17,Arizona,Navajo County,108569,109145,110490,111037,112112
19,Arizona,Pima County,1017083,1027115,1037746,1049261,1061175
21,Arizona,Pinal County,417312,431490,446524,461640,480828
23,Arizona,Santa Cruz County,46412,46578,46446,46728,46808
25,Arizona,Yavapai County,224828,228398,232467,236062,240226
27,Arizona,Yuma County,207162,209244,211245,214182,217824
0,Arkansas,Arkansas,2991815,3003855,3012161,3020985,3030522
1,Arkansas,Arkansas County,18204,17925,17779,17515,17383
3,Arkansas,Ashley County,20544,20333,20041,19742,19339
5,Arkansas,Baxter County,41159,41319,41665,41978,42242
7,Arkansas,Benton County,259497,266882,272560,279835,288774
9,Arkansas,Boone County,37307,37531,37545,37616,37625
11,Arkansas,Bradley County,10961,10813,10818,10792,10639
13,Arkansas,Calhoun County,5147,5196,5206,5137,5113
15,Arkansas,Carroll County,27730,27901,28049,28352,28276
17,Arkansas,Chicot County,10929,10655,10466,10189,9924
19,Arkansas,Clark County,22643,22234,22358,22365,22103
21,Arkansas,Clay County,15059,14859,14763,14494,14375
23,Arkansas,Cleburne County,25171,25085,25105,25019,24935
25,Arkansas,Cleveland County,8253,8177,7991,7937,7957
27,Arkansas,Columbia County,24015,23675,23582,23496,23331
29,Arkansas,Conway County,20877,20821,20836,20905,21037
31,Arkansas,Craighead County,106039,107274,109074,110772,112245
33,Arkansas,Crawford County,62312,62982,63480,63406,63409
35,Arkansas,Crittenden County,49296,48704,48365,47924,47616
37,Arkansas,Cross County,17029,16792,16584,16333,16142
39,Arkansas,Dallas County,7401,7312,7106,6951,6802
41,Arkansas,Desha County,11904,11762,11516,11400,11110
43,Arkansas,Drew County,18574,18372,18302,18092,17977
45,Arkansas,Faulkner County,122213,123706,125336,125828,126919
47,Arkansas,Franklin County,17676,17833,17780,17737,17897
49,Arkansas,Fulton County,12112,12147,12351,12516,12381
51,Arkansas,Garland County,98356,98476,99121,99472,99789
53,Arkansas,Grant County,18080,18118,18209,18287,18449
55,Arkansas,Greene County,44733,45002,45339,45316,45597
57,Arkansas,Hempstead County,22047,21895,21714,21568,21253
59,Arkansas,Hot Spring County,33452,33630,33680,33784,33787
61,Arkansas,Howard County,13347,13361,13297,13219,13109
63,Arkansas,Independence County,37121,37416,37799,37819,37757
65,Arkansas,Izard County,13500,13673,13574,13620,13613
67,Arkansas,Jackson County,17314,17033,16776,16782,16636
69,Arkansas,Jefferson County,70512,69350,68241,67137,65377
71,Arkansas,Johnson County,26160,26423,26684,26596,26513
73,Arkansas,Lafayette County,6895,6807,6684,6656,6596
75,Arkansas,Lawrence County,16662,16588,16452,16440,16410
77,Arkansas,Lee County,9330,9121,8962,8889,8513
79,Arkansas,Lincoln County,13745,13481,13208,13012,12944
81,Arkansas,Little River County,12435,12386,12357,12368,12180
83,Arkansas,Logan County,21743,21740,21705,21495,21410
85,Arkansas,Lonoke County,71845,72843,73560,73648,73921
87,Arkansas,Madison County,16136,16307,16359,16519,16644
89,Arkansas,Marion County,16408,16458,16631,16645,16790
91,Arkansas,Miller County,43776,43819,43431,43370,43177
93,Arkansas,Mississippi County,42863,42093,41239,40717,40066
95,Arkansas,Monroe County,7195,7012,6880,6723,6584
97,Arkansas,Montgomery County,8947,8893,8927,9047,9006
99,Arkansas,Nevada County,8368,8300,8272,8205,8099
101,Arkansas,Newton County,7855,7816,7780,7712,7602
103,Arkansas,Ouachita County,24021,23820,23605,23372,23167
105,Arkansas,Perry County,10266,10332,10366,10417,10327
107,Arkansas,Phillips County,19041,18607,18038,17769,17299
109,Arkansas,Pike County,10836,10731,10657,10705,10643
111,Arkansas,Poinsett County,23993,24082,23877,23502,23283
113,Arkansas,Polk County,20164,20163,20019,19944,19707
115,Arkansas,Pope County,63916,63657,63577,64145,64334
117,Arkansas,Prairie County,8267,8263,8100,8093,7966
119,Arkansas,Pulaski County,394322,393585,392184,392318,392980
121,Arkansas,Randolph County,17452,17724,18085,18161,18247
123,Arkansas,St. Francis County,26306,25959,25459,24977,24682
125,Arkansas,Saline County,117707,119578,121147,122550,123968
127,Arkansas,Scott County,10318,10360,10288,10217,10164
129,Arkansas,Searcy County,7960,7928,7898,7862,7842
131,Arkansas,Sebastian County,127578,127910,127582,127688,127590
133,Arkansas,Sevier County,16959,17085,17019,16972,16702
135,Arkansas,Sharp County,17016,17146,17222,17276,17424
137,Arkansas,Stone County,12525,12555,12542,12614,12674
139,Arkansas,Union County,39920,39499,39130,38677,38219
141,Arkansas,Van Buren County,16682,16557,16580,16529,16541
143,Arkansas,Washington County,228612,232915,236855,239392,243216
145,Arkansas,White County,78941,78944,78390,78621,78729
147,Arkansas,Woodruff County,6616,6580,6496,6431,6264
149,Arkansas,Yell County,21520,21544,21506,21376,21181
1,California,Alameda County,1650765,1659824,1666596,1668412,1662323
3,California,Alpine County,1053,1116,1081,1113,1119
5,California,Amador County,37443,38549,39349,39693,40083
7,California,Butte County,226222,228700,230330,218726,212744
9,California,Calaveras County,45307,45658,45747,46119,46308
11,California,Colusa County,21476,21558,21389,21474,21558
13,California,Contra Costa County,1137259,1145623,1150840,1152883,1152333
15,California,Del Norte County,27415,27383,27793,27903,27968
17,California,El Dorado County,186027,188793,190925,193057,192925
19,California,Fresno County,976231,984726,991298,997847,1000918
21,California,Glenn County,27796,27876,27899,28445,28283
23,California,Humboldt County,136477,136710,136502,135839,134977
25,California,Imperial County,179881,181250,181062,180439,180267
27,California,Inyo County,17897,17819,17894,17993,18046
29,California,Kern County,881094,887316,893618,898898,901362
31,California,Kings County,149269,149542,151221,152727,152692
33,California,Lake County,63912,64132,64394,64463,64479
35,California,Lassen County,30715,30919,30658,30694,30016
37,California,Los Angeles County,10094865,10092365,10061533,10011602,9943046
39,California,Madera County,153694,155079,156373,156717,157761
41,California,Marin County,260722,259975,260091,259085,257332
43,California,Mariposa County,17498,17461,17361,17117,17160
45,California,Mendocino County,87319,87690,87549,86932,86061
47,California,Merced County,267370,270837,273733,277114,279252
49,California,Modoc County,8957,8864,8816,8866,8763
51,California,Mono County,14256,14333,14400,14450,14534
53,California,Monterey County,433436,433803,433359,433380,430906
55,California,Napa County,140778,139818,138620,137678,135965
57,California,Nevada County,98939,99421,99472,99648,99606
59,California,Orange County,3164277,3174159,3175579,3170851,3166857
61,California,Placer County,379046,385348,392735,398918,402950
63,California,Plumas County,18691,18680,18830,19052,18967
65,California,Riverside County,2378282,2413058,2443221,2465569,2489188
67,California,Sacramento County,1511401,1527984,1539550,1551660,1559146
69,California,San Benito County,59270,60190,61415,62803,64055
71,California,San Bernardino County,2130726,2149847,2165627,2177279,2189183
73,California,San Diego County,3305462,3319019,3332483,3330459,3332427
75,California,San Francisco County,871343,877471,879676,878826,866606
77,California,San Joaquin County,732662,743286,752590,761571,767967
79,California,San Luis Obispo County,281884,282473,283250,282728,282249
81,California,San Mateo County,767928,768658,768410,764810,758308
83,California,Santa Barbara County,444112,444998,445137,445464,444766
85,California,Santa Clara County,1928144,1932251,1931985,1922411,1907105
87,California,Santa Cruz County,274476,274865,273713,272870,269925
89,California,Shasta County,178592,179403,179666,179645,179027
91,California,Sierra County,2956,3008,2961,2959,2920
93,California,Siskiyou County,43402,43647,43624,43663,43245
95,California,Solano County,438834,443554,445931,447434,446935
97,California,Sonoma County,502445,502203,497221,492318,489819
99,California,Stanislaus County,538986,544494,547855,549761,550081
101,California,Sutter County,95769,96161,96348,96910,96385
103,California,Tehama County,63468,63827,63904,65186,64494
105,California,Trinity County,12827,12727,12598,12337,12216
107,California,Tulare County,458991,462072,464279,465751,468680
109,California,Tuolumne County,53729,53953,54250,54290,54515
111,California,Ventura County,846921,848264,847222,844203,841387
113,California,Yolo County,215569,218470,220082,220019,219728
115,California,Yuba County,74920,76575,77418,78549,80160
0,Colorado,Colorado,5543844,5617421,5697155,5758486,5807719
1,Colorado,Adams County,497735,503717,511485,516575,519883
3,Colorado,Alamosa County,16047,16102,16235,16200,16180
5,Colorado,Arapahoe County,639605,645080,652395,656051,657452
7,Colorado,Archuleta County,12834,13312,13670,13928,14196
9,Colorado,Baca County,3534,3554,3587,3620,3555
11,Colorado,Bent County,5832,5828,5793,5578,5356
13,Colorado,Boulder County,321761,323019,325438,326020,327171
14,Colorado,Broomfield County,66596,68340,69431,70617,72236
15,Colorado,Chaffee County,19140,19700,20066,20319,20661
17,Colorado,Cheyenne County,1848,1849,1864,1824,1795
19,Colorado,Clear Creek County,9355,9573,9552,9598,9586
21,Colorado,Conejos County,8044,8141,8154,8169,8143
23,Colorado,Costilla County,3692,3758,3803,3872,3921
25,Colorado,Crowley County,5276,5820,5886,5989,5696
27,Colorado,Custer County,4581,4861,4962,5119,5183
29,Colorado,Delta County,30352,30516,30835,31021,31067
31,Colorado,Denver County,696273,704869,716340,725508,735538
33,Colorado,Dolores County,2055,2044,2056,2042,2096
35,Colorado,Douglas County,328680,336347,343780,351842,360750
37,Colorado,Eagle County,54578,55022,55087,55183,54929
39,Colorado,Elbert County,25130,25735,26267,26707,27313
41,Colorado,El Paso County,688671,700838,712746,721929,728310
43,Colorado,Fremont County,47047,47633,48070,48009,47867
45,Colorado,Garfield County,58839,59065,59722,60031,60366
47,Colorado,Gilpin County,5920,6024,6131,6232,6235
49,Colorado,Grand County,15198,15385,15556,15748,15794
51,Colorado,Gunnison County,16447,16896,17177,17480,17593
53,Colorado,Hinsdale County,783,788,786,789,808
55,Colorado,Huerfano County,6583,6632,6877,6868,6883
57,Colorado,Jackson County,1356,1376,1403,1397,1389
59,Colorado,Jefferson County,571823,576041,580027,582800,583283
61,Colorado,Kiowa County,1346,1368,1385,1417,1458
63,Colorado,Kit Carson County,7632,7149,7166,7161,7121
65,Colorado,Lake County,7591,7769,7807,8072,7987
67,Colorado,La Plata County,55459,55717,56511,56440,56564
69,Colorado,Larimer County,339394,344509,351045,357241,360428
71,Colorado,Las Animas County,14085,14237,14460,14415,14420
73,Colorado,Lincoln County,5546,5526,5595,5694,5680
75,Colorado,Logan County,22427,22314,22286,22409,21974
77,Colorado,Mesa County,149882,151435,153339,154552,155603
79,Colorado,Mineral County,756,753,774,756,773
81,Colorado,Moffat County,13155,13095,13148,13209,13144
83,Colorado,Montezuma County,26063,26187,26303,26369,26408
85,Colorado,Montrose County,41183,41795,42309,42791,43322
87,Colorado,Morgan County,28178,28275,28754,28938,28941
89,Colorado,Otero County,18279,18344,18354,18243,18201
91,Colorado,Ouray County,4794,4815,4834,5005,5001
93,Colorado,Park County,17372,17935,18583,18881,18955
95,Colorado,Phillips County,4307,4339,4343,4359,4367
97,Colorado,Pitkin County,18009,18027,18066,17902,17894
99,Colorado,Prowers County,11937,11990,12038,12106,12106
101,Colorado,Pueblo County,164883,166370,167574,168409,169823
103,Colorado,Rio Blanco County,6443,6362,6347,6350,6342
105,Colorado,Rio Grande County,11354,11300,11274,11277,11296
107,Colorado,Routt County,24737,25220,25489,25579,25560
109,Colorado,Saguache County,6413,6632,6837,6829,6938
111,Colorado,San Juan County,691,713,760,723,748
113,Colorado,San Miguel County,8032,8049,8195,8169,8105
115,Colorado,Sedgwick County,2399,2314,2284,2274,2260
117,Colorado,Summit County,30573,30848,30771,30851,30631
119,Colorado,Teller County,24098,24713,25158,25408,25529
121,Colorado,Washington County,4824,4909,4861,4869,4875
123,Colorado,Weld County,296330,306571,315360,324703,333983
125,Colorado,Yuma County,10057,9976,9964,10020,10047
0,Connecticut,Connecticut,3579830,3575324,3574561,3566022,3557006
1,Connecticut,Fairfield County,945096,944107,945511,944388,942426
3,Connecticut,Hartford County,894282,893141,892767,891349,889226
5,Connecticut,Litchfield County,182837,181719,181151,180396,179610
7,Connecticut,Middlesex County,163403,163058,163053,162538,161657
9,Connecticut,New Haven County,858159,857845,856895,853818,851948
11,Connecticut,New London County,268639,267829,267089,265784,264999
13,Connecticut,Tolland County,151223,151136,150913,150865,150600
15,Connecticut,Windham County,116191,116489,117182,116884,116540
0,Delaware,Delaware,949989,957942,966985,976668,986809
1,Delaware,Kent County,174776,176754,178954,181492,183643
3,Delaware,New Castle County,555582,556491,557983,559941,561531
5,Delaware,Sussex County,219631,224697,230048,235235,241635
0,District of Columbia,District of Columbia,687576,697079,704147,708253,712816
1,District of Columbia,District of Columbia,687576,697079,704147,708253,712816
0,Florida,Florida,20627237,20977089,21254926,21492056,21733312
1,Florida,Alachua County,264127,266501,269190,269489,271218
3,Florida,Baker County,27903,28255,28381,29288,29566
5,Florida,Bay County,183765,184841,186555,173895,171322
7,Florida,Bradford County,26756,27158,27759,28348,28593
9,Florida,Brevard County,577380,588165,594978,601024,608459
11,Florida,Broward County,1913780,1935945,1948058,1955475,1958105
13,Florida,Calhoun County,14346,14463,14593,14140,14078
15,Florida,Charlotte County,178046,181998,185204,189669,194711
17,Florida,Citrus County,142988,145619,147920,150153,153010
19,Florida,Clay County,207401,212381,215902,219014,221770
21,Florida,Collier County,365894,373286,378657,385917,392973
23,Florida,Columbia County,69300,70051,70719,71766,72654
27,Florida,DeSoto County,36228,37159,37128,37821,38520
29,Florida,Dixie County,16455,16609,16692,16887,17057
31,Florida,Duval County,927038,939167,950469,959853,966728
33,Florida,Escambia County,311975,313882,315857,319379,322364
35,Florida,Flagler County,107608,110316,112415,115481,118451
37,Florida,Franklin County,11834,11730,11694,12113,12201
39,Florida,Gadsden County,46069,45984,45933,45670,45277
41,Florida,Gilchrist County,17607,17899,18263,18572,18885
43,Florida,Glades County,13421,13591,13762,13914,14198
45,Florida,Gulf County,16082,16115,16137,13498,13534
47,Florida,Hamilton County,14309,14397,14289,14470,14521
49,Florida,Hardee County,27228,27172,27106,26806,26822
51,Florida,Hendry County,40097,41074,41306,42069,42813
53,Florida,Hernando County,182668,186899,190851,194290,198792
55,Florida,Highlands County,102058,103828,104453,105890,106639
57,Florida,Hillsborough County,1398093,1428960,1455351,1476431,1497957
59,Florida,Holmes County,19426,19458,19512,19661,19594
61,Florida,Indian River County,151281,154260,157023,159739,162518
63,Florida,Jackson County,48325,48288,48089,46257,46085
65,Florida,Jefferson County,13985,14226,14358,14280,14543
67,Florida,Lafayette County,8760,8603,8649,8384,8482
69,Florida,Lake County,335209,345848,357086,366941,375492
71,Florida,Lee County,723467,741188,755159,772268,790767
73,Florida,Leon County,286960,291125,291905,293866,295460
75,Florida,Levy County,39885,40339,40839,41620,42214
77,Florida,Liberty County,8307,8234,8421,8341,8364
79,Florida,Madison County,18342,18512,18623,18599,18707
81,Florida,Manatee County,375538,385458,394043,402977,411219
83,Florida,Marion County,347958,353953,359630,365997,373513
85,Florida,Martin County,158425,159716,160661,161212,162088
86,Florida,Miami-Dade County,2689890,2709126,2709711,2711612,2707303
87,Florida,Monroe County,76968,76556,74362,73897,73900
89,Florida,Nassau County,80168,83024,85923,88583,91113
91,Florida,Okaloosa County,200912,204275,207731,211411,212820
93,Florida,Okeechobee County,40767,41248,41601,42141,42297
95,Florida,Orange County,1327775,1357720,1383657,1395371,1404396
97,Florida,Osceola County,338182,353306,367359,374170,385315
99,Florida,Palm Beach County,1451469,1470583,1482833,1497800,1507600
101,Florida,Pasco County,510319,525533,539129,554032,570412
103,Florida,Pinellas County,960527,968886,973343,975367,976802
105,Florida,Polk County,666271,685790,707095,724967,744552
107,Florida,Putnam County,72410,73418,73968,74309,74815
109,Florida,St. Johns County,235192,244067,254007,265068,278715
111,Florida,St. Lucie County,305775,313207,320340,328063,337186
113,Florida,Santa Rosa County,170224,174413,179573,184587,189139
115,Florida,Sarasota County,413395,420073,426890,435006,443465
117,Florida,Seminole County,456266,463052,468195,471791,474171
119,Florida,Sumter County,122249,125298,129351,133772,139018
121,Florida,Suwannee County,43849,44125,44206,44420,44851
123,Florida,Taylor County,22098,21784,21525,21537,21600
125,Florida,Union County,15256,15455,15302,15213,15182
127,Florida,Volusia County,529100,538755,547117,554065,561497
129,Florida,Wakulla County,31894,32055,32369,33636,34319
131,Florida,Walton County,65488,68110,70874,74127,76648
133,Florida,Washington County,24469,24577,24845,25647,25932
0,Georgia,Georgia,10308442,10417031,10519389,10628020,10710017
1,Georgia,Appling County,18443,18447,18538,18389,18325
3,Georgia,Atkinson County,8293,8257,8344,8269,8393
5,Georgia,Bacon County,11268,11204,11096,11098,11036
7,Georgia,Baker County,3185,3158,3089,3047,2971
9,Georgia,Baldwin County,45260,44993,45001,45006,45099
11,Georgia,Banks County,18292,18607,18918,19175,19352
13,Georgia,Barrow County,77108,79086,81105,83581,85588
15,Georgia,Bartow County,103418,105190,106488,107757,109426
17,Georgia,Ben Hill County,17267,17059,16794,16711,16614
19,Georgia,Berrien County,18968,19071,19207,19377,19408
21,Georgia,Bibb County,153212,152920,153069,153191,152737
23,Georgia,Bleckley County,12868,12769,12833,12923,12955
25,Georgia,Brantley County,18425,18848,19021,19124,19202
27,Georgia,Brooks County,15732,15641,15491,15518,15357
29,Georgia,Bryan County,35916,37091,38151,39692,40755
31,Georgia,Bulloch County,74660,76046,77332,79718,80839
33,Georgia,Burke County,22638,22553,22501,22497,22648
35,Georgia,Butts County,23738,24064,24172,24917,25426
37,Georgia,Calhoun County,6359,6393,6340,6184,6231
39,Georgia,Camden County,52602,53211,53816,54784,55388
43,Georgia,Candler County,10837,10698,10813,10835,10985
45,Georgia,Carroll County,116180,117437,118094,120115,121633
47,Georgia,Catoosa County,66350,66570,67402,67585,67996
49,Georgia,Charlton County,12850,12779,12826,13277,13430
51,Georgia,Chatham County,289055,289771,289771,290185,289463
53,Georgia,Chattahoochee County,10065,10197,10548,10991,10551
55,Georgia,Chattooga County,24847,24757,24836,24846,24843
57,Georgia,Cherokee County,241929,247944,254277,259475,265274
59,Georgia,Clarke County,124873,126674,127179,128238,127795
61,Georgia,Clay County,3015,2971,2901,2901,2866
63,Georgia,Clayton County,279346,284175,289229,292404,292646
65,Georgia,Clinch County,6762,6658,6601,6637,6582
67,Georgia,Cobb County,748767,753361,757133,761060,762944
69,Georgia,Coffee County,42924,42871,43060,43278,43218
71,Georgia,Colquitt County,45471,45501,45467,45569,45542
73,Georgia,Columbia County,147622,151757,154399,157129,160377
75,Georgia,Cook County,17175,17217,17161,17241,17291
77,Georgia,Coweta County,140561,143218,146063,148504,150849
79,Georgia,Crawford County,12250,12236,12273,12345,12231
81,Georgia,Crisp County,22882,22675,22572,22382,22034
83,Georgia,Dade County,16249,16270,16238,16103,16057
85,Georgia,Dawson County,23664,24410,25106,26091,27113
87,Georgia,Decatur County,26682,26727,26613,26496,26457
89,Georgia,DeKalb County,747299,751680,755514,759932,762009
91,Georgia,Dodge County,20866,20777,20858,20672,20452
93,Georgia,Dooly County,13870,13694,13718,13400,13174
95,Georgia,Dougherty County,90365,89537,89247,87854,86477
97,Georgia,Douglas County,141824,143563,145260,146680,147988
99,Georgia,Early County,10310,10313,10255,10176,10037
101,Georgia,Echols County,3934,3888,3933,3963,4002
103,Georgia,Effingham County,58705,60121,62274,64342,65765
105,Georgia,Elbert County,19122,19104,19053,19205,19335
107,Georgia,Emanuel County,22405,22528,22582,22600,22507
109,Georgia,Evans County,10633,10747,10677,10661,10638
111,Georgia,Fannin County,25051,25348,25995,26068,26521
113,Georgia,Fayette County,111294,112626,113333,114645,115821
115,Georgia,Floyd County,96730,97459,97907,98325,98604
117,Georgia,Forsyth County,220856,229367,237330,244624,250847
119,Georgia,Franklin County,22333,22876,23039,23322,23504
121,Georgia,Fulton County,1023816,1039996,1051516,1065019,1077402
123,Georgia,Gilmer County,29897,30470,31011,31575,31978
125,Georgia,Glascock County,2976,3031,2968,2959,2984
127,Georgia,Glynn County,84211,84836,85099,85326,85568
129,Georgia,Gordon County,57015,57204,57737,58046,58780
131,Georgia,Grady County,24895,24762,24730,24588,24491
133,Georgia,Greene County,16892,17225,17730,18356,18837
135,Georgia,Gwinnett County,905291,918681,928072,937399,942627
137,Georgia,Habersham County,44166,44687,45580,45542,46047
139,Georgia,Hall County,196176,198854,201396,204310,206591
141,Georgia,Hancock County,8644,8545,8344,8475,8494
143,Georgia,Haralson County,28860,29286,29626,29884,30383
145,Georgia,Harris County,33615,33945,34552,35188,36080
147,Georgia,Hart County,25459,25708,26078,26255,26406
149,Georgia,Heard County,11578,11748,11801,11825,11973
151,Georgia,Henry County,221040,225246,229873,234671,239139
153,Georgia,Houston County,151287,152757,155004,157427,160110
155,Georgia,Irwin County,9307,9362,9395,9442,9387
157,Georgia,Jackson County,65091,67681,70347,73015,76199
159,Georgia,Jasper County,13776,13881,14024,14207,14483
161,Georgia,Jeff Davis County,14954,15033,15015,15101,15213
163,Georgia,Jefferson County,15773,15638,15423,15344,15267
165,Georgia,Jenkins County,8823,8844,8790,8734,8746
167,Georgia,Johnson County,9679,9750,9767,9724,9667
169,Georgia,Jones County,28572,28459,28603,28689,28787
171,Georgia,Lamar County,18462,18582,18866,19001,19261
173,Georgia,Lanier County,10444,10456,10450,10581,10737
175,Georgia,Laurens County,47287,47362,47293,47567,47512
177,Georgia,Lee County,29203,29429,29764,30045,30234
179,Georgia,Liberty County,61672,61819,60887,62813,63004
181,Georgia,Lincoln County,7859,7859,7927,7969,8031
183,Georgia,Long County,18392,18822,19148,19647,20171
185,Georgia,Lowndes County,114457,115495,116361,117600,118268
187,Georgia,Lumpkin County,31422,32812,32934,33692,34186
189,Georgia,McDuffie County,21481,21517,21545,21317,21162
191,Georgia,McIntosh County,14068,14092,14243,14294,14387
